Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,demand_multiplier,supply_multiplier,adjusted_ride_cost,profit_percentage
90,45,Urban,Silver,13,4.47,Night,Premium,90,284.25727302188227,1.1111111111111112,0.8444444444444444,266.71052777361797,-6.172839506172827
58,39,Suburban,Silver,72,4.06,Evening,Economy,43,173.87475274940766,1.45,0.9743589743589743,245.65381734595798,41.28205128205126
42,31,Rural,Silver,0,3.99,Afternoon,Premium,76,329.7954689622466,1.05,1.2258064516129032,424.4786842449561,28.70967741935484
89,28,Rural,Regular,67,4.31,Afternoon,Premium,134,470.2012317513198,1.0987654320987654,1.3571428571428572,701.1554522852574,49.11816578483247
78,22,Rural,Regular,74,3.77,Afternoon,Economy,149,579.6814223640141,1.95,1.7272727272727273,1952.4724271442476,236.8181818181818
59,35,Urban,Silver,83,3.51,Night,Economy,128,339.9553606047221,1.475,1.0857142857142856,544.414227482705,60.14285714285714
93,43,Suburban,Regular,44,4.41,Afternoon,Premium,16,104.06154127359152,1.1481481481481481,0.8837209302325582,105.58526754547013,1.4642549526270596
62,39,Rural,Gold,83,3.59,Afternoon,Premium,47,235.81186355605,1.55,0.9743589743589743,356.1363785500345,51.025641025641036
79,14,Rural,Silver,71,3.74,Evening,Economy,128,501.4125174833056,1.975,2.7142857142857144,2687.92924550872,436.07142857142856
42,6,Rural,Silver,21,3.85,Night,Premium,128,398.9933645706103,1.05,1.8333333333333333,768.0622267984248,92.5
86,17,Urban,Regular,99,4.69,Morning,Economy,167,669.2986264658781,1.0617283950617284,2.235294117647059,1588.4298556938925,137.32752360203344
60,38,Rural,Gold,15,4.14,Evening,Premium,144,414.9901047325251,1.5,1.0,622.4851570987876,49.999999999999986
24,8,Rural,Gold,50,4.12,Morning,Economy,164,490.41072171830416,0.6,1.375,539.4517938901346,10.0
36,24,Suburban,Silver,88,4.22,Night,Premium,83,296.24287599192223,0.9,1.5833333333333333,422.1460982884892,42.50000000000001
63,13,Rural,Regular,74,4.95,Afternoon,Premium,102,327.0888648717375,1.575,2.923076923076923,1505.866812505653,360.38461538461536
39,12,Urban,Silver,30,4.51,Afternoon,Premium,140,445.1368684239125,0.975,3.1666666666666665,1374.36008125883,208.75
38,28,Rural,Silver,35,3.93,Afternoon,Premium,54,244.5361718306458,0.95,1.3571428571428572,315.27699296736836,28.928571428571438
46,14,Suburban,Silver,21,4.71,Afternoon,Economy,15,47.31430863361691,1.15,2.7142857142857144,147.68823480636135,212.1428571428571
33,7,Suburban,Gold,49,4.31,Evening,Premium,22,129.8082629093964,0.825,1.5714285714285714,168.28714084325318,29.64285714285713
31,7,Suburban,Silver,24,4.82,Evening,Premium,87,382.9481103198511,0.775,1.5714285714285714,481.42048154495563,25.71428571428571
96,45,Urban,Regular,6,4.95,Afternoon,Premium,11,82.77279318243978,1.1851851851851851,0.8444444444444444,82.84091893814548,0.08230452674894949
22,11,Suburban,Silver,79,4.48,Night,Economy,15,64.07117255500656,0.55,1.0,51.256938044005246,-20.0
74,16,Rural,Regular,6,3.97,Morning,Economy,139,390.6687658288554,1.85,2.375,1716.5008898605333,339.375
24,12,Urban,Regular,10,3.6,Evening,Premium,45,212.16652497375452,0.6,3.1666666666666665,537.4885299335115,153.33333333333334
48,19,Suburban,Gold,72,3.81,Night,Premium,65,235.65813370551408,1.2,2.0,565.5795208932337,140.0
56,13,Rural,Regular,36,4.81,Evening,Economy,162,406.5574980533908,1.4,2.923076923076923,1663.7583766492608,309.23076923076917
72,33,Rural,Gold,66,4.39,Morning,Premium,30,182.4744270596517,1.8,1.1515151515151516,378.21972154182356,107.2727272727273
97,75,Urban,Silver,76,4.7,Night,Economy,158,652.617297300081,1.1975308641975309,0.5066666666666667,625.2234848208183,-4.197530864197536
62,33,Suburban,Regular,39,3.91,Evening,Premium,129,403.22709836941993,1.55,1.1515151515151516,719.6992755745102,78.48484848484851
57,38,Suburban,Silver,54,4.1,Night,Premium,131,537.7848594528473,1.425,1.0,766.3434247203074,42.50000000000001
25,7,Suburban,Silver,13,3.99,Morning,Premium,81,286.13145256368455,0.625,1.5714285714285714,359.7081117943463,25.71428571428571
75,56,Suburban,Gold,94,4.79,Evening,Premium,153,485.0546633356366,1.875,0.6785714285714286,727.5819950034548,49.99999999999999
39,9,Urban,Gold,39,4.64,Afternoon,Premium,48,171.0859835160851,0.975,1.2222222222222223,203.8774636900014,19.166666666666668
35,24,Suburban,Gold,73,3.76,Evening,Premium,105,485.8784537318511,0.875,1.5833333333333333,673.1441077743353,38.54166666666666
68,32,Suburban,Regular,34,3.58,Morning,Economy,77,294.7328864777875,1.7,1.1875,594.9920145770334,101.87499999999999
96,43,Rural,Silver,97,3.68,Morning,Premium,91,392.83872040801793,1.1851851851851851,0.8837209302325582,411.448651176701,4.737295434969863
