Number_of_Riders,Number_of_Drivers,Location_Category,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,demand_multiplier,supply_multiplier,adjusted_ride_cost,profit_percentage,Loyalty_Gold,Loyalty_Regular,Loyalty_Silver
90,45,Urban,13,4.47,Night,Premium,90,284.25727302188227,1.1111111111111112,0.8444444444444444,266.71052777361797,-6.172839506172827,0,0,1
58,39,Suburban,72,4.06,Evening,Economy,43,173.87475274940766,1.45,0.9743589743589743,245.65381734595798,41.28205128205126,0,0,1
42,31,Rural,0,3.99,Afternoon,Premium,76,329.7954689622466,1.05,1.2258064516129032,424.4786842449561,28.70967741935484,0,0,1
89,28,Rural,67,4.31,Afternoon,Premium,134,470.2012317513198,1.0987654320987654,1.3571428571428572,701.1554522852574,49.11816578483247,0,1,0
78,22,Rural,74,3.77,Afternoon,Economy,149,579.6814223640141,1.95,1.7272727272727273,1952.4724271442476,236.8181818181818,0,1,0
59,35,Urban,83,3.51,Night,Economy,128,339.9553606047221,1.475,1.0857142857142856,544.414227482705,60.14285714285714,0,0,1
93,43,Suburban,44,4.41,Afternoon,Premium,16,104.06154127359152,1.1481481481481481,0.8837209302325582,105.58526754547013,1.4642549526270596,0,1,0
62,39,Rural,83,3.59,Afternoon,Premium,47,235.81186355605,1.55,0.9743589743589743,235.81186355605,0.0,1,0,0
79,14,Rural,71,3.74,Evening,Economy,128,501.4125174833056,1.975,2.7142857142857144,2687.92924550872,436.07142857142856,0,0,1
42,6,Rural,21,3.85,Night,Premium,128,398.9933645706103,1.05,1.8333333333333333,768.0622267984248,92.5,0,0,1
86,17,Urban,99,4.69,Morning,Economy,167,669.2986264658781,1.0617283950617284,2.235294117647059,669.2986264658781,0.0,0,1,0
60,38,Rural,15,4.14,Evening,Premium,144,414.9901047325251,1.5,1.0,414.9901047325251,0.0,1,0,0
24,8,Rural,50,4.12,Morning,Economy,164,490.41072171830416,0.6,1.375,490.41072171830416,0.0,1,0,0
36,24,Suburban,88,4.22,Night,Premium,83,296.24287599192223,0.9,1.5833333333333333,422.1460982884892,42.50000000000001,0,0,1
63,13,Rural,74,4.95,Afternoon,Premium,102,327.0888648717375,1.575,2.923076923076923,327.0888648717375,0.0,0,1,0
